Exp;Control;Calculado
1;36.2; 36.055555555555564
1;36.1; 36.00512048192771
1;36.2; 36.055555555555564
1;36.2; 36.311065573770485
1;36.2; 35.89843260188089
1;36.4; 36.5
1;36.4; 36.11824104234528
1;37.3; 37.5559297218155
1;36.1; 36.00512048192771
2;37.5; 37.719017094017076
1;36.2; 35.64709302325582
1;36.2; 35.83333333333334
2;37.4; 37.765879017013226
1;36.2; 37.66575922565033
1;36.2; 37.66575922565033
1;36.2; 35.64709302325582
1;36; 35.83333333333334
1;36; 35.89843260188089
1;36; 35.89843260188089
1;36.2; 36.00512048192771
1;36; 35.89843260188089
2;36.4; 35.216707616707616
1;36; 36.00512048192771
1;36; 35.64709302325582
2;36.4; 36.055555555555564
1;36; 35.51000000000001
2;36.2; 35.9539393939394
1;36; 36.00512048192771
1;35.9; 35.64709302325582
1;36.1; 36.00512048192771
1;36.1; 35.9539393939394
2;36.3; 35.9539393939394
2;37.3; 37.5559297218155
1;36; 35.9539393939394
2;37.4; 37.74482248520709
1;36.2; 36.00512048192771
1;36.1; 36.11824104234528
2;36.4; 36.00512048192771
1;36.1; 35.9539393939394
1;36.2; 36.19714285714287
2;36.3; 35.9539393939394
2;36.3; 35.9539393939394
2;36.3; 36.5
2;36.3; 36.055555555555564
2;36.3; 36.19714285714287
2;36.4; 36.19714285714287
1;36.1; 36.055555555555564
2;36.4; 36.311065573770485
2;36.4; 36.19714285714287
1;36.2; 36.055555555555564
2;36.5; 36.311065573770485
2;36.8; 36.19714285714287
2;36.5; 36.5
2;36.3; 36.19714285714287
2;36.5; 36.311065573770485
2;36.6; 36.311065573770485
2;36.1; 36.11824104234528
2;36; 36.055555555555564
2;36.6; 36.311065573770485
2;37.5; 39.196551724138004
